ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
0-120,1kW,On Grid,JA Solar China,Goodwee China,No battery ,0,74000,1,2,0-120 On Grid JA Solar China Goodwee China No battery ,1kW On Grid | 2 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 158000
121-240,2kW,On Grid,JA Solar China,Goodwee China,No battery ,0,110000,1,4,121-240 On Grid JA Solar China Goodwee China No battery ,2kW On Grid | 4 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 278000
241-420,3.5kW,On Grid,JA Solar China,Goodwee China,No battery ,0,210000,1,7,241-420 On Grid JA Solar China Goodwee China No battery ,3.5kW On Grid | 7 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 504000
421-480,4kW,On Grid,JA Solar China,Goodwee China,No battery ,0,300000,1,8,421-480 On Grid JA Solar China Goodwee China No battery ,4kW On Grid | 8 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 636000
481-600,5kW,On Grid,JA Solar China,Goodwee China,No battery ,0,410000,1,10,481-600 On Grid JA Solar China Goodwee China No battery ,5kW On Grid | 10 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 830000
601-900,7.5kW,On Grid,JA Solar China,Goodwee China,No battery ,0,520000,1,17,601-900 On Grid JA Solar China Goodwee China No battery ,7.5kW On Grid | 17 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1234000
901-960,8kW,On Grid,JA Solar China,Goodwee China,No battery ,0,560000,1,18,901-960 On Grid JA Solar China Goodwee China No battery ,8kW On Grid | 18 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1316000
961-1200,10kW,On Grid,JA Solar China,Goodwee China,No battery ,0,620000,1,20,961-1200 On Grid JA Solar China Goodwee China No battery ,10kW On Grid | 20 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1460000
1201-1800,15kW,On Grid,JA Solar China,Goodwee China,No battery ,0,520000,2,30,1201-1800 On Grid JA Solar China Goodwee China No battery ,15kW On Grid | 30 solar panel- JA Solar China | 2 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 2300000
1801-2400,20kW,On Grid,JA Solar China,Goodwee China,No battery ,0,620000,2,40,1801-2400 On Grid JA Solar China Goodwee China No battery ,20kW On Grid | 40 solar panel- JA Solar China | 2 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 2920000
2401-3600,30kW,On Grid,JA Solar China,Goodwee China,No battery ,0,620000,3,60,2401-3600 On Grid JA Solar China Goodwee China No battery ,30kW On Grid | 60 solar panel- JA Solar China | 3 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 4380000
3601-4800,40kW,On Grid,JA Solar China,Goodwee China,No battery ,0,620000,4,80,3601-4800 On Grid JA Solar China Goodwee China No battery ,40kW On Grid | 80 solar panel- JA Solar China | 4 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 5840000
4801-6000,50kW,On Grid,JA Solar China,Goodwee China,No battery ,0,620000,5,100,4801-6000 On Grid JA Solar China Goodwee China No battery ,50kW On Grid | 100 solar panel- JA Solar China | 5 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 7300000
6001-7200,60kW,On Grid,JA Solar China,Goodwee China,No battery ,0,620000,6,120,6001-7200 On Grid JA Solar China Goodwee China No battery ,60kW On Grid | 120 solar panel- JA Solar China | 6 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 8760000
0-120,1kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,94000,1,2,0-120 On Grid JA Solar China SMA Germany  No battery ,1kW On Grid | 2 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 178000
121-240,2kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,140000,1,4,121-240 On Grid JA Solar China SMA Germany  No battery ,2kW On Grid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 308000
241-420,3.5kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,260000,1,7,241-420 On Grid JA Solar China SMA Germany  No battery ,3.5kW On Grid | 7 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 554000
421-480,4kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,370000,1,8,421-480 On Grid JA Solar China SMA Germany  No battery ,4kW On Grid | 8 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 706000
481-600,5kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,490000,1,10,481-600 On Grid JA Solar China SMA Germany  No battery ,5kW On Grid | 10 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 910000
601-900,7.5kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,580000,1,17,601-900 On Grid JA Solar China SMA Germany  No battery ,7.5kW On Grid | 17 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1294000
901-960,8kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,650000,1,18,901-960 On Grid JA Solar China SMA Germany  No battery ,8kW On Grid | 18 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1406000
961-1200,10kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,780000,1,20,961-1200 On Grid JA Solar China SMA Germany  No battery ,10kW On Grid | 20 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1620000
